,Location,Name,Phone 1,Address 1,City,State,ZIP Code,Software,Zone,OS Version
0,ABC000,Main Office,212-736-7171,107 west 13th street,New York,New York,10011,,Not a garage,
1,ABC001,88th Street Garage Corp.,212-874-8442,100 west 89th street,New York,New York,10024,Ultra,West of Central Park,
2,ABC002,520 West Parking Corp.,212-244-4786,520 west 43rd street,New York,New York,10036,Ultra,Midtown West,
3,ABC004,59 Allen St,212-226-1793,59 allen street,New York,New York,10002,Ultra,Lower Manhattan,
4,ABC005,Century Garage Corp.,718-543-6002,2600 netherland avenue,Bronx,New York,10463,Ultra,Bronx,
5,ABC006,1955 1st Parking Corp.,212-996-3074,1955 1st avenue,New York,New York,10029,Ultra,East of Central Park,
6,ABC009,First Ave Parking Corp.,646-684-4070,630 1st avenue,New York,New York,10016,Ultra,Midtown East,
7,ABC010,525-535 Garage Corp.,212-249-2674,535 east 86th street,New York,New York,10028,Ultra,East of Central Park,
8,ABC011,340 East 34 Garage Corp.,212-252-8726,332-342 east 34th street,New York,New York,10016,Ultra,Midtown East,
9,ABC012,107 Garage Corp.,212-741-9016,107 west 13th street,New York,New York,10011,Ultra,Lower Manhattan,
10,ABC014,Ever-Ready Parking Inc.,212-599-8937,330 east 46th street,New York,New York,10017,Ultra,Midtown East,
11,ABC015,30 Garage Corp.,212-717-5747,30 east end avenue,New York,New York,10028,Ultra,East of Central Park,
12,ABC016,650 Parking Corp.,212-472-2596,650 park avenue,New York,New York,10065,Ultra,East of Central Park,
13,ABC017,Colony Garage Corp.,201-461-0061,1530 palisade avenue,Fort Lee,New Jersey,07024,Ultra,New Jersey,
14,ABC019,Central Parking Corp.,212-650-0996,860 5th avenue,New York,New York,10065,Ultra,East of Central Park,
15,ABC021,785 Garage Corp,212-644-1336,785 5th avenue,New York,New York,10022,Ultra,Midtown East,
16,ABC025,64th Parking Corp.,718-830-9047,98-10 64th avenue,Rego Park,New York,11374,Ultra,Queens,
17,ABC026,130 East 18th Garage Corp.,212-475-8091,130 east 18th street,New York,New York,10003,Ultra,Lower Manhattan,
18,ABC027,Fifth Avenue Public Parking,212-675-0335,96 5th avenue,New York,New York,10011,Ultra,Lower Manhattan,
19,ABC028,Paradise Garage Corp.,718-275-5430,62-60 99th street,Rego Park,New York,11374,Ultra,Queens,
20,ABC029,555 West Garage,646-486-0769,549 west 23rd street,New York,New York,10011,Ultra,Lower Manhattan,
21,ABC030,Intertown Parking Corp.,212-650-1916,55 east end avenue,New York,New York,10028,Ultra,East of Central Park,
22,ABC031,West 90th Garage Corp.,212-721-5265,101 west 90th street,New York,New York,10024,Ultra,West of Central Park,
23,ABC034,145 Bradhurst Garage Corp.,212-281-2770,68 bradhurst avenue,New York,New York,10039,Ultra,Uptown Manhattan,
24,ABC041,East 97th Parking Corp.,212-348-8361,175 east 96th street,New York,New York,10128,Ultra,East of Central Park,
25,ABC044,300 Parking Inc.,212-974-9495,300 west 55th street,New York,New York,10019,Ultra,Midtown West,
26,ABC046,Central Harlem Garage Corp.,212-860-7691,130 malcolm x blvd.,New York,New York,10026,Ultra,Uptown Manhattan,
27,ABC047,Gold/Pearl Parking Corp.,212-837-2723,2 gold street,New York,New York,10038,Ultra,Lower Manhattan,
28,ABC048,1025 Fifth Garage Corp.,212-861-0510,1025 5th avenue,New York,New York,10028,Ultra,East of Central Park,
29,ABC051,1010 6th Avenue,212-221-8857,1010 6th avenue,New York,New York,10018,Ultra,Midtown West,
30,ABC052,Hudson River Parking Corp. OUT,718-796-4569,3718-20 henry hudson parkwy,Bronx,New York,10463,Ultra,Bronx,
31,ABC053,315 E 70th Garage,212-879-5434,315 east 70th street,New York,New York,10021,Ultra,East of Central Park,
32,ABC054,160 Parking Corp.,212-861-9628,189 east 64th street,New York,New York,10065,Ultra,East of Central Park,
33,ABC056,The Carnegie Garage,212-860-1976,200 east 94th street,New York,New York,10128,Ultra,East of Central Park,
34,ABC058,Prestige Garage,212-355-8007,25 sutton place so.,New York,New York,10022,Ultra,Midtown East,
35,ABC061,61 Jane Parking Corp.,212-243-6303,61 jane street,New York,New York,10014,Ultra,Lower Manhattan,
36,ABC063,Gracie Public Parking,212-360-6186,401 east 89th street,New York,New York,10128,Ultra,East of Central Park,
37,ABC065,Enterprise 40th,212-697-7773,315 east 40th street,New York,New York,10016,Ultra,Midtown East,
38,ABC066,53rd Parking Corp,212-265-1645,301 west 53rd street,New York,New York,10019,Ultra,Midtown West,
39,ABC067,East 28th Street Garage Corp.,212-889-3330,201 east 28th street,New York,New York,10016,Ultra,Midtown East,
40,ABC068,Millennium Garage Corp.,212-472-4713,35 east 85th street,New York,New York,10068,Ultra,East of Central Park,
41,ABC071,100 ML Garage,646-449-9840,100 maiden lane,New York,New York,10038,Ultra,Lower Manhattan,
42,ABC073,Kent Garage Corp,718-388-7294,444 kent avenue,Brooklyn,New York,11211,Ultra,Brooklyn,
43,ABC075,200 East Parking,212-750-0254,1081 3rd avenue,New York,New York,10065,Ultra,East of Central Park,
44,ABC076,110 East End Avenue,212-249-4808,110 east end avenue,New York,New York,10028,Ultra,East of Central Park,
45,ABC077,311 Parking Corp,212-586-9760,311 west 50th street,New York,New York,10019,Ultra,Midtown West,
46,ABC078,West 54 Parking Corp,212-445-0592,129-133 west 54th street,New York,New York,10019,Ultra,Midtown West,
47,ABC079,Chelsea 7th Garage Corp.,212-807-1819,252 7th avenue,New York,New York,10001,Ultra,Midtown West,
48,ABC080,345 East Garage Corp.,212-472-1213,345 east 80th street,New York,New York,10075,Ultra,East of Central Park,
49,ABC082,400 Garage Corp.,212-650-1683,400 east 85th street,New York,New York,10028,Ultra,East of Central Park,
50,ABC083,220 West Garage Corp.,646-486-2148,220 west 26th street,New York,New York,10001,Ultra,Midtown West,
51,ABC084,East 14th Garage Corp,212-929-8529,7 east 14th street,New York,New York,10003,Ultra,Lower Manhattan,
52,ABC087,Cabrini Garage Corp,212-923-1381,900 west 190th street,New York,New York,10040,Ultra,Uptown Manhattan,
53,ABC088,250 West 19 Parking Corp,646-638-3558,250 west 19th street,New York,New York,10011,Ultra,Lower Manhattan,
54,ABC091,165 East Parking Corp,212-744-0264,165 east 72nd street,New York,New York,10021,Ultra,East of Central Park,
55,ABC094,Concourse Parking,718-943-2929,800 grand concourse,Bronx,New York,10451,Ultra,Bronx,
56,ABC095,245 E Garage Corp,212-752-0485,245 east 63rd street,New York,New York,10021,Ultra,East of Central Park,
57,ABC097,100 William Grarage,212-933-1981,72 john street,New York,New York,10038,Ultra,Lower Manhattan,
58,ABC099,220 East 63rd Garage Corp.,212-752-2178,220 east 63rd street,New York,New York,10065,Ultra,East of Central Park,
59,ABC129,Lenox Hill Hospital,212-288-6800,165 east 77th street,New York,New York,10021,Ultra,East of Central Park,
60,ABC154,Manhattan Eye Ear & Throat Hospital,212-752-0485,245 east 63rd street,New York,New York,10065,Ultra,Midtown East,
61,ABC178,Essex House Hotel,,160 central park south,New York,New York,10019,Ultra,Midtown West,
62,ABC212,73rd Street Parking Corp.,646-783-5192,1257-1265 3rd avenue,New York,New York,10021,Ultra,East of Central Park,
63,ABC221,605 Parking Corp,646-556-7342,605 park avenue,New York,New York,10021,Ultra,East of Central Park,
64,ABC222,Eleventh Ave Garage,212-967-7872,314 11th avenue,New York,New York,10001,Ultra,Midtown West,
65,ABC223,East 124 Garage,212-996-5940,245 east 124th street,New York,New York,10035,Ultra,Uptown Manhattan,
66,ABC224,East 61st Street,212-308-8291,150 east 61st street,New York,New York,10065,Ultra,East of Central Park,
67,ABC225,75 Wall Garage Corp,212-269-2404,75 wall street,New York,New York,10005,Ultra,Lower Manhattan,
68,ABC226,1510 Lex Garage,212-289-6257,1510 lexington avenue,New York,New York,10029,Ultra,East of Central Park,
69,ABC227,225 East 63rd,646-998-7568,220 madison avenue,New York,New York,10016,Ultra,Midtown East,
70,ABC228,22 North 6th,718-218-7570,22 north 6th street,Brooklyn,New York,11211,Ultra,Brooklyn,
71,ABC229,165 E 77th St Garage,212-288-6800,165 east 77th street,New York,New York,10021,Ultra,East of Central Park,
72,ABC230,Manhattan Ave. Garage Corp,646-243-6930,454 manhattan ave.,New York,New York,10026,Ultra,Uptown Manhattan,
73,ABC231,1501 Garage Mgmt,646-672-0608,1501 lexington avenue,New York,New York,10029,Ultra,East of Central Park,
74,ABC232,Henry Hudson Parking,718-432-1736,4525-4555 henry hudson pkwy.,Bronx,New York,10471,Ultra,Bronx,
75,ABC233,330 Third Ave,212-685-5773,330 3rd avenue,New York,New York,10001,Ultra,Midtown East,
76,ABC234,420 East 72nd Garage,646-532-2567,420 east 72nd street,New York,New York,10021,Ultra,East of Central Park,
77,ABC237,215 E 24th St,212-696-4603,215 east 24th street,New York,New York,10011,Ultra,Midtown West,
78,ABC239,34 North 7th Street,718-782-1494,34 north 7th street,Brooklyn,New York,11249,Ultra,Brooklyn,
79,ABC240,304 West 49th Parking,212-247-5602,304-306 west 49th street,New York,New York,10019,Ultra,Midtown West,
80,ABC243,NYULMC i Parking Corp.,212-731-5087,160 east 34th street,New York,New York,10016,Ultra,Midtown East,
81,ABC244,425 East 58 Garage,212-838-4447,425 east 58th street,New York,New York,10022,Ultra,Midtown East,
82,ABC245,10 East End Avenue Gar,212-439-1580,10 east end avenue,New York,New York,10075,Ultra,East of Central Park,
83,ABC246,116th - 117th Street Parking Corp,212-828-3370,23 west 116th street,New York,New York,10026,Ultra,Uptown Manhattan,
84,ABC247,515 Ninth Ave Parking Corp,212-828-3370,511 9th avenue,New York,New York,10018,Ultra,Midtown West,
85,ABC248,44 Elizabeth Street Parking Corp.,212-226-9425,44 elizabeth street,New York,New York,10013,Ultra,Lower Manhattan,
86,ABC249,455 CPW Parking,212-666-7246,455 central park west,New York,New York,10025,Ultra,West of Central Park,
87,ABC250,106 Mott Street Parking Corp.,212-219-8940,106 mott street,New York,New York,10013,Ultra,Lower Manhattan,
88,ABC251,776 Sixth Ave Parking Corp.,212-252-1673,776 6th avenue,New York,New York,10001,Ultra,Midtown West,
89,ABC252,North 4th Place Garage Corp,718-388-0378,1 north 4th street,Brooklyn,New York,11249,Ultra,Brooklyn,
90,ABC253,62 Mulberry Parking Corp.,212-267-3486,62-64 mulberry street,New York,New York,10013,Ultra,Lower Manhattan,
91,ABC254,310 East 46th Street Parking Corp.,347-424-6140,310 east 46th street,New York,New York,10017,Ultra,Midtown East,
92,ABC258,316 Bergen Parking Corp.,718-243-2329,312 bergen street,Brooklyn,New York,11217,Ultra,Brooklyn,
93,ABC259,West 161st Parkin Corp.,646-928-3465,519 west 161st street,New York,New York,10032,Ultra,Uptown Manhattan,
94,ABC260,210 Central Park South Parking Corp.,212-245-5400,210 central park south,New York,New York,10019,Ultra,Midtown West,
95,ABC261,247 North 7th Street Parking Corp.,929-337-8633,248 north 8th street,Brooklyn,New York,11248,Ultra,Brooklyn,
96,ABC264,340 East 74th Street Parking Corp.,212-249-4724,340 east 74th street,New York,New York,10021,Ultra,East of Central Park,
97,ABC265,333 East 75th Street Parking Corp.,212-249-4794,333 east 75th street,New York,New York,10021,Ultra,East of Central Park,
98,ABC266,155 East 55th Street Parking Corp.,212-319-1470,143-155 east 55th street,New York,New York,10022,Ultra,Midtown East,
99,ABC267,65 West 55th Street Parking Corp.,212-245-2053,57-67 west 55th street,New York,New York,10019,Ultra,Midtown West,
100,ABC268,170 Park Row Parking Corp.,646-609-6934,170 park row,New York,New York,10038,Ultra,Lower Manhattan,
101,ABC269,43-25 Hunter Street Parking Corp.,347-738-6170,43-25 hunter street,Long Island City,New York,11101,Ultra,Queens,
102,ABC270,255 Schermerhorn Street Parking Corp,347-763-2930,33 bond street,Brooklyn,New York,11201,Ultra,Brooklyn,
