,Unnamed: 0,DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Address,zipcode,label
0,,1306493-DCA,Business,3/31/21,69 ENTERPRISE PARKING LLC,,219,E 69TH ST,,NEW YORK,NY,10021.0,2126270012,Manhattan,1.0,219 east 69th street,10021.0,False
1,,2068286-DCA,Business,3/31/21,2 NORTH 6TH PARKING CORP,,2,N 6TH ST,,BROOKLYN,NY,11249.0,2127367171,Brooklyn,3.0,2 north 6th street,11249.0,False
2,,2093168-DCA,Business,3/31/21,SYGMA PARKING INC,,219,E 69TH ST,,NEW YORK,NY,10021.0,6466008384,Manhattan,1.0,219 east 69th street,10021.0,False
3,,2093213-DCA,Business,3/31/21,MP 80 DEKALB PARKING LLC,,74,DEKALB AVE,,BROOKLYN,NY,11201.0,2124903460,Brooklyn,3.0,74 dekalb avenue,11201.0,False
4,,1217500-DCA,Business,12/22/19,220 RIVERSIDE PARKING LLC,,220,RIVERSIDE BLVD,,NEW YORK,NY,10069.0,2126869800,Manhattan,1.0,220 riverside boulevardd,10069.0,False
5,,2032047-DCA,Business,3/31/21,WILLSHIRE CAR PARK INC.,,18230,WEXFORD TER,,JAMAICA,NY,11432.0,2122216111,Queens,4.0,18230 wexford terrace,11432.0,False
6,,2089543-DCA,Business,3/31/21,GR PARKING INC,,4007,73RD ST,,WOODSIDE,NY,11377.0,3474459514,Queens,4.0,4007 73rd street,11377.0,False
7,,2089751-DCA,Business,3/31/21,J P PARKING II CORP,,4501,BROADWAY,,NEW YORK,NY,10040.0,2018000358,Manhattan,1.0,4501 broadway,10040.0,True
8,,2089530-DCA,Business,3/31/21,30-40-60 GARAGE LLC,,30,E 9TH ST,,NEW YORK,NY,10003.0,6469644323,Manhattan,1.0,30 east 9th street,10003.0,False
9,,2089103-DCA,Business,3/31/21,PUBLIC PARKING 200 E. 15TH STREET INC,,200,E 15TH ST,,NEW YORK,NY,10003.0,7187297276,Manhattan,1.0,200 east 15th street,10003.0,False
10,,2089165-DCA,Business,3/31/21,ZANDER GARAGE LLC,,301,ELIZABETH ST,,NEW YORK,NY,10012.0,646-964-4323,Manhattan,1.0,301 elizabeth street,10012.0,False
11,,2089152-DCA,Business,3/31/21,LIAM GARAGE LLC,,77,W 15TH ST,,NEW YORK,NY,10011.0,646-964-4323,Manhattan,1.0,77 west 15th street,10011.0,False
12,,2089161-DCA,Business,3/31/21,WEST 30TH GARAGE LLC,,363,W 30TH ST,,NEW YORK,NY,10001.0,6409644323,Manhattan,1.0,363 west 30th street,10001.0,False
13,,1431566-DCA,Business,3/31/17,LAZ PARKING NEW YORK / NEW JERSEY LLC,,360,E 65TH ST,,NEW YORK,NY,10065.0,2122652239,Manhattan,1.0,360 east 65th street,10065.0,False
14,,2039078-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,LAZ PARKING NY/NJ LLC,779-789,RIVERSIDE DR,,NEW YORK,NY,10032.0,2122652239,Manhattan,1.0,779-789 riverside drive,10032.0,False
15,,1424525-DCA,Business,1/30/14,LAZ PARKING NEW YORK / NEW JERSEY LLC,"LAZ PARKING NY/NJ, LLC",15,WILLIAM ST,,NEW YORK,NY,10005.0,2122652239,Manhattan,1.0,15 william street,10005.0,True
16,,2094858-DCA,Business,3/31/21,PPS STANWIX LLC,,115,STANWIX ST,,BROOKLYN,NY,11206.0,2123606300,Brooklyn,3.0,115 streetanwix st,11206.0,False
17,,2085511-DCA,Business,5/12/20,"ONE PARKING 709, INC.",,2830,JACKSON AVE,,LONG ISLAND CITY,NY,11101.0,4802722100,Queens,4.0,2830 jackson avenue,11101.0,False
18,,2028692-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,LAZ PARKING NY/NJ,525,E 72ND ST,,NEW YORK,NY,10021.0,2122652239,Manhattan,1.0,525 east 72nd street,10021.0,True
19,,2008172-DCA,Business,3/31/15,LAZ PARKING NEW YORK / NEW JERSEY LLC,,250,W 50TH ST,,NEW YORK,NY,10019.0,2122652239,Manhattan,1.0,250 west 50th street,10019.0,True
20,,2022443-DCA,Business,10/20/15,LAZ PARKING NEW YORK / NEW JERSEY LLC,,555,W 59TH ST,,NEW YORK,NY,10019.0,2122652239,Manhattan,1.0,555 west 59th street,10019.0,True
21,,1422491-DCA,Business,3/31/19,LAZ PARKING NEW YORK / NEW JERSEY LLC,,839,AVENUE OF THE AMERICAS,,NEW YORK,NY,10001.0,2122652239,Manhattan,1.0,839 avenuenue of the americas,10001.0,False
22,,1452247-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,,15902,JAMAICA AVE,,JAMAICA,NY,11432.0,2122652239,Queens,4.0,15902 jamaica avenue,11432.0,False
23,,1069843-DCA,Business,3/31/21,"CHARLES PARKING, LLC",,200,E 27TH ST,,NEW YORK,NY,10016.0,2126849704,Manhattan,1.0,200 east 27th street,10016.0,True
24,,2006294-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,,175,KENT AVE,,BROOKLYN,NY,11249.0,2122652239,Brooklyn,3.0,175 kent avenue,11249.0,True
25,,1474028-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,LAZ PARKING NY/NJ LLC,267,6TH AVE,,BROOKLYN,NY,11215.0,2122652239,Brooklyn,3.0,267 6th avenue,11215.0,False
26,,1455450-DCA,Business,9/24/14,LAZ PARKING NEW YORK / NEW JERSEY LLC,"LAZ PARKING NY/NJ, LLC",8914,PARSONS BLVD,,JAMAICA,NY,11432.0,2122652239,Queens,4.0,8914 parsons boulevardd,11432.0,False
