DCA License Number	License Type	License Expiration Date	Business Name	Business Name 2	Address Building	Address Street Name	Secondary Address Street Name	Address City	Address State	Address ZIP	Contact Phone Number	Address Borough	Borough Code
1306493-DCA	Business	3/31/21	69 ENTERPRISE PARKING LLC		219	E 69TH ST		NEW YORK	NY	10021	2126270012	Manhattan	1
2068286-DCA	Business	3/31/21	2 NORTH 6TH PARKING CORP		2	N 6TH ST		BROOKLYN	NY	11249	2127367171	Brooklyn	3
2093168-DCA	Business	3/31/21	SYGMA PARKING INC		219	E 69TH ST		NEW YORK	NY	10021	6466008384	Manhattan	1
2093213-DCA	Business	3/31/21	MP 80 DEKALB PARKING LLC		74	DEKALB AVE		BROOKLYN	NY	11201	2124903460	Brooklyn	3
1217500-DCA	Business	12/22/19	220 RIVERSIDE PARKING LLC		220	RIVERSIDE BLVD		NEW YORK	NY	10069	2126869800	Manhattan	1
2032047-DCA	Business	3/31/21	WILLSHIRE CAR PARK INC.		18230	WEXFORD TER		JAMAICA	NY	11432	2122216111	Queens	4
2089543-DCA	Business	3/31/21	GR PARKING INC		4007	73RD ST		WOODSIDE	NY	11377	3474459514	Queens	4
2089751-DCA	Business	3/31/21	J P PARKING II CORP		4501	BROADWAY		NEW YORK	NY	10040	2018000358	Manhattan	1
2089530-DCA	Business	3/31/21	30-40-60 GARAGE LLC		30	E 9TH ST		NEW YORK	NY	10003	6469644323	Manhattan	1
2089103-DCA	Business	3/31/21	PUBLIC PARKING 200 E. 15TH STREET INC		200	E 15TH ST		NEW YORK	NY	10003	7187297276	Manhattan	1
2089165-DCA	Business	3/31/21	ZANDER GARAGE LLC		301	ELIZABETH ST		NEW YORK	NY	10012	646-964-4323	Manhattan	1
2089152-DCA	Business	3/31/21	LIAM GARAGE LLC		77	W 15TH ST		NEW YORK	NY	10011	646-964-4323	Manhattan	1
2089161-DCA	Business	3/31/21	WEST 30TH GARAGE LLC		363	W 30TH ST		NEW YORK	NY	10001	6409644323	Manhattan	1
1431566-DCA	Business	3/31/17	LAZ PARKING NEW YORK / NEW JERSEY LLC		360	E 65TH ST		NEW YORK	NY	10065	2122652239	Manhattan	1
2039078-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	LAZ PARKING NY/NJ LLC	779-789	RIVERSIDE DR		NEW YORK	NY	10032	2122652239	Manhattan	1
1424525-DCA	Business	1/30/14	LAZ PARKING NEW YORK / NEW JERSEY LLC	"LAZ PARKING NY/NJ, LLC"	15	WILLIAM ST		NEW YORK	NY	10005	2122652239	Manhattan	1
2094858-DCA	Business	3/31/21	PPS STANWIX LLC		115	STANWIX ST		BROOKLYN	NY	11206	2123606300	Brooklyn	3
2085511-DCA	Business	5/12/20	"ONE PARKING 709, INC."		2830	JACKSON AVE		LONG ISLAND CITY	NY	11101	4802722100	Queens	4
2028692-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	LAZ PARKING NY/NJ	525	E 72ND ST		NEW YORK	NY	10021	2122652239	Manhattan	1
2008172-DCA	Business	3/31/15	LAZ PARKING NEW YORK / NEW JERSEY LLC		250	W 50TH ST		NEW YORK	NY	10019	2122652239	Manhattan	1
2022443-DCA	Business	10/20/15	LAZ PARKING NEW YORK / NEW JERSEY LLC		555	W 59TH ST		NEW YORK	NY	10019	2122652239	Manhattan	1
1422491-DCA	Business	3/31/19	LAZ PARKING NEW YORK / NEW JERSEY LLC		839	AVENUE OF THE AMERICAS		NEW YORK	NY	10001	2122652239	Manhattan	1
1452247-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC		15902	JAMAICA AVE		JAMAICA	NY	11432	2122652239	Queens	4
1069843-DCA	Business	3/31/21	"CHARLES PARKING, LLC"		200	E 27TH ST		NEW YORK	NY	10016	2126849704	Manhattan	1
2006294-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC		175	KENT AVE		BROOKLYN	NY	11249	2122652239	Brooklyn	3
1474028-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	LAZ PARKING NY/NJ LLC	267	6TH AVE		BROOKLYN	NY	11215	2122652239	Brooklyn	3
1455450-DCA	Business	9/24/14	LAZ PARKING NEW YORK / NEW JERSEY LLC	"LAZ PARKING NY/NJ, LLC"	8914	PARSONS BLVD		JAMAICA	NY	11432	2122652239	Queens	4
1290457-DCA	Business	3/31/15	LAZ PARKING NEW YORK / NEW JERSEY LLC		3804	NOSTRAND AVE		BROOKLYN	NY	11235	2122652239	Brooklyn	3
2038951-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	LAZ PARKING NY/NJ LLC	13620	38TH AVE		FLUSHING	NY	11354	2122652239	Queens	4
1382731-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC		56-80	GREENWICH ST		NEW YORK	NY	10006	2122652239	Manhattan	1
2084834-DCA	Business	6/27/19	LAZ PARKING NEW YORK / NEW JERSEY LLC		160	RIVERSIDE BLVD		NEW YORK	NY	10069	2122652239	Manhattan	1
2074962-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	"LAZ PARKING NY,NJ LLC"	527	E 14TH ST		NEW YORK	NY	10009	2122652239	Manhattan	1
