Location
"39.952962,-75.16558"
"39.952162,-75.17406"
"39.961612,-75.19957"
"39.951062,-75.14589"
"39.952112,-75.15853"
"39.949612,-75.163722"
"39.950212,-75.163572"
"40.057661,-75.08018"
"39.895677,-75.19044"
"40.064257,-75.00155"
"40.09261,-75.04118"
"40.117413,-75.0154"
"40.07236,-75.20772"
"40.053511,-75.18858"
"40.033944,-75.12118"
"39.981062,-75.1745"
"39.977662,-75.14336"
"39.964012,-75.14764"
"40.017362,-75.08769"
"39.978162,-75.12565"
"40.055411,-75.13793"
"40.026626,-75.22311"
"40.038944,-75.22104"
"40.011562,-75.1839"
"39.968262,-75.17222"
"39.981112,-75.22486"
"39.995412,-75.16977"
"39.992862,-75.14054"
"39.991712,-75.11116"
"40.023611,-75.04966"
"40.041111,-75.02644"
"40.000262,-75.07404"
"40.055861,-75.15654"
"39.961812,-75.23003"
"40.012212,-75.14503"
"40.035778,-75.1447"
"39.922612,-75.23453"
"39.944162,-75.22718"
"40.034111,-75.17203"
"39.922262,-75.18259"
"39.938512,-75.18067"
"39.936562,-75.15409"
"39.919812,-75.15803"
"40.037711,-75.06658"
"40.07226,-75.17106"
"39.975929,-75.25256"
"40.059611,-75.04837"
"39.898985,-75.23221"
"40.09146,-74.97719"
